step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.321856093479731,0,0.0,0.9391708594526351,0,0.0,False,,
10.0,0,0.0,0.0,12.951503400603071,0,0.0,0.9183110562056672,0,0.0,False,,
15.0,4,6.0,0.3333333333333333,6.933918413567918,4,6.0,0.40604250408773984,4,6.0,False,,
20.0,8,45.0,2.5,7.423989687418545,8,45.0,0.3927477475634485,8,45.0,False,,
25.0,10,87.0,3.9545454545454546,6.126720024384526,10,87.0,0.32896949119937235,10,87.0,False,,
30.0,12,143.0,7.15,4.739238121234223,12,143.0,0.283007989814556,12,143.0,False,,
35.0,14,207.0,8.625,4.244931315307362,14,207.0,0.24679841576974917,14,207.0,False,,
40.0,11,180.0,6.428571428571429,5.1134536932701184,11,232.0,0.32813370274469195,11,232.0,False,,
45.0,7,191.0,5.96875,7.547660830689102,7,217.0,0.44091146310759854,7,217.0,False,,
50.0,6,87.0,2.6363636363636362,6.508044302847912,6,164.0,0.31304234695993094,6,164.0,False,,
55.0,12,131.0,4.09375,6.421219313430318,12,143.0,0.2929141573868719,12,143.0,False,,
60.0,11,154.0,5.310344827586207,5.2839304032014365,11,176.0,0.20073090479180125,11,176.0,False,,
65.0,9,183.0,6.1,6.4942982955643025,9,200.0,0.32784921103083314,9,200.0,False,,
70.0,6,140.0,4.827586206896552,7.10003993776102,6,181.0,0.32556920703725806,6,181.0,False,,
75.0,10,180.0,5.0,7.427283598777415,10,187.0,0.41261233083069904,10,187.0,False,,
80.0,9,197.0,5.96969696969697,7.589612569288113,9,221.0,0.46221175279943244,9,221.0,False,,
85.0,6,205.0,5.857142857142857,6.137890275030586,6,225.0,0.31295487204604316,6,225.0,False,,
90.0,14,248.0,7.515151515151516,4.975599208842644,14,272.0,0.22817564317581612,14,272.0,False,,
95.0,19,334.0,10.4375,4.281553778612153,19,354.0,0.2329494354190103,19,354.0,False,,
100.0,15,365.0,11.06060606060606,4.830081057552918,15,409.0,0.2303588849070971,15,409.0,False,,
105.0,10,388.0,11.411764705882353,6.062216089074166,10,420.0,0.309319102045472,10,420.0,False,,
110.0,10,438.0,11.526315789473685,7.9348961270576455,10,438.0,0.4310913019983334,10,438.0,False,,
115.0,8,272.0,7.555555555555555,7.064021721016179,8,378.0,0.38424442341437987,8,378.0,False,,
120.0,12,326.0,10.1875,6.078659045834868,12,326.0,0.2960541483128612,12,326.0,False,,
125.0,11,349.0,9.971428571428572,5.684122779946925,11,377.0,0.22036118685429254,11,377.0,False,,
130.0,11,394.0,13.133333333333333,6.042491024290784,11,406.0,0.2913591215085708,11,406.0,False,,
135.0,9,376.0,11.393939393939394,6.663209133276754,9,405.0,0.31233783672562093,9,405.0,False,,
140.0,13,431.0,13.903225806451612,6.467478113483776,13,433.0,0.25351814648427534,13,433.0,False,,
145.0,10,455.0,13.787878787878787,5.7455974169196375,10,479.0,0.32659876657366094,10,479.0,False,,
150.0,9,489.0,13.971428571428572,8.16770475370276,9,500.0,0.496343652392942,9,500.0,False,,
155.0,9,516.0,15.636363636363637,7.234538618317126,9,517.0,0.3846647433218447,9,517.0,False,,
160.0,18,581.0,17.08823529411765,5.120048139200608,18,582.0,0.20834429976307084,18,582.0,False,,
165.0,15,629.0,20.29032258064516,4.117024941391737,15,655.0,0.17150171248146237,15,655.0,False,,
170.0,15,688.0,20.848484848484848,5.5090331290573005,15,696.0,0.2853952579719961,15,696.0,False,,
175.0,17,761.0,23.060606060606062,4.680461815985251,17,769.0,0.1682933434260888,17,769.0,False,,
180.0,21,856.0,25.939393939393938,4.157562899597816,21,864.0,0.14570363139753917,21,864.0,False,,
