step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.013986164268807,0,0.0,0.923913767917429,0,0.0,False,,
10.0,0,0.0,0.0,12.015155414793364,0,0.0,0.8664272687230835,0,0.0,False,,
15.0,4,6.0,0.3333333333333333,5.614028267626846,4,6.0,0.35901637356923677,4,6.0,False,,
20.0,10,51.0,2.8333333333333335,5.443288532212837,10,51.0,0.32164845062602465,10,51.0,False,,
25.0,7,65.0,2.7083333333333335,5.242774620117318,7,79.0,0.3009024691989339,7,79.0,False,,
30.0,8,101.0,4.590909090909091,7.499793804505941,8,102.0,0.4044398797743441,8,102.0,False,,
35.0,8,130.0,5.0,6.289033631260698,8,131.0,0.27643899621714035,8,131.0,False,,
40.0,12,186.0,6.888888888888889,6.46430153744069,12,187.0,0.3704061515135599,12,187.0,False,,
45.0,11,133.0,4.433333333333334,6.42950615782127,11,189.0,0.4060625198548422,11,189.0,False,,
50.0,12,193.0,6.892857142857143,6.412586113848284,12,194.0,0.3097762864017521,12,194.0,False,,
55.0,10,144.0,4.5,6.575586054630511,10,214.0,0.2875764295388808,10,214.0,False,,
60.0,4,113.0,4.035714285714286,6.486889324064194,4,174.0,0.2264223318678901,4,174.0,False,,
65.0,6,142.0,4.733333333333333,8.95858911890935,6,146.0,0.44933171743618083,6,146.0,False,,
70.0,4,116.0,4.833333333333333,7.2510811836469005,4,135.0,0.3664248580485899,4,135.0,False,,
75.0,9,151.0,4.575757575757576,7.753872449718005,9,155.0,0.45440863126996306,9,155.0,False,,
80.0,10,73.0,2.433333333333333,7.775329658224229,10,77.0,0.4862506809762311,10,77.0,False,,
85.0,11,124.0,3.875,5.689637173057777,11,128.0,0.28360783195114136,11,128.0,False,,
90.0,14,93.0,3.1,4.857698925202262,14,161.0,0.23883509775113987,14,161.0,False,,
95.0,6,48.0,1.5,6.229453542470171,6,137.0,0.32636488066897545,6,137.0,False,,
100.0,4,31.0,0.96875,6.9726159016876,4,110.0,0.3453647112055163,4,110.0,False,,
105.0,10,71.0,2.3666666666666667,5.748478095559077,10,129.0,0.2652292389961885,10,129.0,False,,
110.0,11,91.0,2.676470588235294,5.481223873499548,11,145.0,0.2977642711659764,11,145.0,False,,
115.0,6,103.0,3.21875,6.5540587600920395,6,133.0,0.38297492111129644,6,133.0,False,,
120.0,5,9.0,0.2647058823529412,5.855092439117519,5,100.0,0.29509307504035187,5,100.0,False,,
125.0,12,45.0,1.2857142857142858,5.384454350426775,12,76.0,0.2114235827448253,12,76.0,False,,
130.0,14,65.0,1.911764705882353,4.576823642915554,14,118.0,0.19171960878854544,14,118.0,False,,
135.0,9,66.0,1.8857142857142857,5.266858344229737,9,123.0,0.22752622084926047,9,123.0,False,,
140.0,8,45.0,1.3235294117647058,5.704013137075142,8,132.0,0.2894628645402599,8,132.0,False,,
