step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.956188369925343,0,0.0,0.9095451387529211,0,0.0,False,,
10.0,0,0.0,0.0,12.275362959453604,0,0.0,0.8628917436089433,0,0.0,False,,
15.0,1,1.0,0.05555555555555555,6.968072021575219,1,1.0,0.44235583758811503,1,1.0,False,,
20.0,7,33.0,1.8333333333333333,7.938656198693948,7,33.0,0.4237784552739108,7,33.0,False,,
25.0,5,41.0,1.8636363636363635,6.805954218705282,5,48.0,0.43715571513959917,5,48.0,False,,
30.0,6,67.0,3.526315789473684,7.881407147634069,6,67.0,0.4608422831784901,6,67.0,False,,
35.0,2,39.0,1.6956521739130435,8.193162210819725,2,52.0,0.4707184562843797,2,52.0,False,,
40.0,6,61.0,2.44,9.036526051792707,6,61.0,0.5455051002904403,6,61.0,False,,
45.0,2,59.0,2.269230769230769,8.337831898805122,2,69.0,0.5374051515049727,2,69.0,False,,
50.0,2,69.0,2.76,8.611690346759119,2,69.0,0.4857958729478022,2,69.0,False,,
55.0,5,89.0,3.423076923076923,7.229585486069486,5,89.0,0.37513631101692946,5,89.0,False,,
60.0,9,126.0,5.7272727272727275,6.81788505226453,9,126.0,0.29281443798713674,9,126.0,False,,
65.0,7,135.0,5.4,6.149543274315907,7,153.0,0.34597247744538445,7,153.0,False,,
70.0,6,163.0,7.761904761904762,7.758126555935233,6,165.0,0.4220020213902519,6,165.0,False,,
75.0,5,124.0,3.757575757575758,8.307167649938606,5,151.0,0.5193322918158709,5,151.0,False,,
80.0,8,158.0,5.642857142857143,8.7787583242327,8,160.0,0.5704301078565375,8,160.0,False,,
85.0,6,59.0,1.84375,6.515854423836313,6,61.0,0.39383958979305866,6,61.0,False,,
90.0,15,122.0,4.206896551724138,5.316088763657766,15,124.0,0.25056433691815544,15,124.0,False,,
95.0,12,94.0,3.1333333333333333,5.075769088966869,12,155.0,0.2663706198706825,12,155.0,False,,
100.0,8,82.0,2.8275862068965516,6.203565117120485,8,139.0,0.31473592297066266,8,139.0,False,,
105.0,8,80.0,2.5,5.872422551952134,8,147.0,0.2908269604247103,8,147.0,False,,
110.0,13,134.0,3.9411764705882355,6.223672852048383,13,191.0,0.332313539012981,13,191.0,False,,
115.0,11,142.0,4.176470588235294,5.806481192274053,11,209.0,0.32203749377750907,11,209.0,False,,
120.0,6,135.0,3.9705882352941178,6.980216562043614,6,172.0,0.33099678532624427,6,172.0,False,,
125.0,5,13.0,0.38235294117647056,6.501259373338707,5,130.0,0.32073703029676887,5,130.0,False,,
130.0,9,43.0,1.34375,6.747787434992768,9,87.0,0.297751487285805,9,87.0,False,,
135.0,10,55.0,1.71875,5.508115121885748,10,107.0,0.22124223048437844,10,107.0,False,,
140.0,6,59.0,2.0344827586206895,7.365542039749483,6,106.0,0.39355262177372424,6,106.0,False,,
145.0,6,83.0,2.515151515151515,9.169770305974358,6,97.0,0.46722679208076734,6,97.0,False,,
150.0,3,22.0,0.6470588235294118,8.298844952114887,3,72.0,0.5298711658792447,3,72.0,False,,
155.0,8,50.0,1.7241379310344827,6.812912482408413,8,64.0,0.36380692564503353,8,64.0,False,,
160.0,12,55.0,1.6666666666666667,5.146794338045663,12,92.0,0.23556192807420617,12,92.0,False,,
165.0,9,86.0,2.8666666666666667,6.085559442322775,9,111.0,0.24567648670321474,9,111.0,False,,
170.0,8,54.0,1.6363636363636365,6.28864006347977,8,101.0,0.3084349778394597,8,101.0,False,,
175.0,13,108.0,4.0,4.821167677210228,13,127.0,0.20775730549510726,13,127.0,False,,
180.0,12,130.0,4.333333333333333,4.509763313660057,12,172.0,0.1817143800907111,12,172.0,False,,
185.0,9,151.0,4.71875,6.994044161167151,9,186.0,0.39590574705269804,9,186.0,False,,
190.0,2,64.0,1.8285714285714285,7.149148361523873,2,149.0,0.395296221638931,2,149.0,False,,
195.0,10,96.0,3.0,6.058719043103698,10,124.0,0.2587640146745152,10,124.0,False,,
200.0,10,117.0,3.5454545454545454,5.830996756050828,10,161.0,0.24699040786065057,10,161.0,False,,
205.0,8,137.0,4.419354838709677,6.827468678880766,8,166.0,0.3368620864832084,8,166.0,False,,
210.0,7,118.0,3.806451612903226,6.015003368176457,7,174.0,0.3329472354467156,7,174.0,False,,
215.0,13,169.0,6.035714285714286,4.947791402033379,13,201.0,0.17747138701761736,13,201.0,False,,
220.0,14,194.0,5.243243243243243,6.719057743963626,14,247.0,0.38169072731662396,14,247.0,False,,
225.0,7,195.0,5.909090909090909,7.163190040588757,7,237.0,0.3959363132029671,7,237.0,False,,
230.0,8,155.0,3.9743589743589745,5.476045222665562,8,226.0,0.2733068453456948,8,226.0,False,,
235.0,16,220.0,6.285714285714286,4.919729158499773,16,267.0,0.19447373573590643,16,267.0,False,,
240.0,17,127.0,3.5277777777777777,4.2249159021288865,17,193.0,0.17720306251933,17,193.0,False,,
245.0,22,228.0,6.514285714285714,3.653962000162503,22,275.0,0.122209479536741,22,275.0,False,,
250.0,20,226.0,6.277777777777778,4.2850165394378195,20,325.0,0.20857353080565513,20,325.0,False,,
255.0,12,174.0,4.578947368421052,4.837186230151668,12,309.0,0.2563011520912058,12,309.0,False,,
260.0,7,55.0,1.3095238095238095,6.664534903694041,7,285.0,0.3836396526891213,7,285.0,False,,
265.0,12,96.0,2.4,5.451976550351117,12,276.0,0.21911629028621757,12,276.0,False,,
270.0,12,117.0,2.8536585365853657,5.316414705213674,12,288.0,0.2134160229278969,12,288.0,False,,
275.0,9,134.0,3.8285714285714287,4.431202987142298,9,242.0,0.1380451890158101,9,242.0,False,,
280.0,9,165.0,4.230769230769231,7.319534594407614,9,220.0,0.3422566358487747,9,220.0,False,,
285.0,3,21.0,0.6,6.20273422491398,3,172.0,0.2774331155490339,3,172.0,False,,
290.0,8,27.0,0.6923076923076923,7.135797771658642,8,103.0,0.42313384453577263,8,103.0,False,,
295.0,13,80.0,2.051282051282051,6.9159352685925155,13,137.0,0.3677016557561318,13,137.0,False,,
300.0,11,74.0,1.8974358974358974,5.218857725908449,11,161.0,0.236649275037247,11,161.0,False,,
305.0,12,48.0,1.2972972972972974,5.048542990603591,12,151.0,0.22267211987202726,12,151.0,False,,
310.0,9,65.0,1.7567567567567568,7.164046213086795,9,130.0,0.30835145706416617,9,130.0,False,,
315.0,9,64.0,1.8285714285714285,5.767459662019031,9,150.0,0.2966589341887149,9,150.0,False,,
320.0,14,123.0,3.84375,4.506701251482324,14,191.0,0.2235882789722046,14,191.0,False,,
325.0,13,148.0,4.0,4.629113979166807,13,228.0,0.2563931960088358,13,228.0,False,,
330.0,11,166.0,4.742857142857143,5.215432851430445,11,236.0,0.2807802281171035,11,236.0,False,,
335.0,8,198.0,5.076923076923077,7.504392931684088,8,232.0,0.36573087551678934,8,232.0,False,,
340.0,8,87.0,2.4166666666666665,5.450095003140676,8,198.0,0.2460036832993153,8,198.0,False,,
345.0,13,133.0,3.911764705882353,5.5007157110019085,13,167.0,0.24933771783086872,13,167.0,False,,
350.0,12,163.0,4.6571428571428575,4.66361746030985,12,211.0,0.16666264608253697,12,211.0,False,,
355.0,9,180.0,5.142857142857143,6.297617311190597,9,227.0,0.2965581613847569,9,227.0,False,,
360.0,7,144.0,4.645161290322581,4.938157572026958,7,230.0,0.19933299256627618,7,230.0,False,,
365.0,15,196.0,5.157894736842105,5.981632906472962,15,247.0,0.35086614072787736,15,247.0,False,,
370.0,14,222.0,6.0,4.591433858247997,14,289.0,0.25510637544136056,14,289.0,False,,
375.0,15,241.0,6.17948717948718,4.1520850414238515,15,299.0,0.20624092842042915,15,299.0,False,,
380.0,12,131.0,3.358974358974359,4.322049360942155,12,218.0,0.18642928978761003,12,218.0,False,,
385.0,19,211.0,5.146341463414634,4.13136501241129,19,291.0,0.18528236154083197,19,291.0,False,,
390.0,20,270.0,6.923076923076923,2.815965298660377,20,364.0,0.09839625182833618,20,364.0,False,,
395.0,17,308.0,7.897435897435898,4.06233797243747,17,370.0,0.1576114910992941,17,370.0,False,,
400.0,14,368.0,8.177777777777777,6.4224090909059015,14,414.0,0.29223521158969223,14,414.0,False,,
405.0,11,194.0,4.409090909090909,6.186370445134862,11,377.0,0.36391195042672253,11,377.0,False,,
410.0,13,184.0,4.487804878048781,4.868744296637541,13,272.0,0.2263315920775711,13,272.0,False,,
415.0,19,224.0,5.209302325581396,4.239946608997884,19,330.0,0.18277910545533652,19,330.0,False,,
420.0,15,262.0,6.390243902439025,4.249300643211876,15,363.0,0.11162857251893768,15,363.0,False,,
425.0,11,98.0,2.3902439024390243,4.759717099769246,11,336.0,0.25055907759782803,11,336.0,False,,
430.0,17,139.0,3.861111111111111,3.934938219871688,17,278.0,0.16192522007440155,17,278.0,False,,
435.0,19,183.0,3.893617021276596,5.074894746371936,19,324.0,0.28142638160614686,19,324.0,False,,
440.0,13,201.0,4.568181818181818,6.049446500817638,13,342.0,0.3284792356005796,13,342.0,False,,
445.0,8,72.0,1.565217391304348,5.06970375108016,8,295.0,0.2856308790442673,8,295.0,False,,
450.0,16,72.0,1.6744186046511629,4.898615081792027,16,233.0,0.21354315869222135,16,233.0,False,,
455.0,20,115.0,2.6136363636363638,3.9833703197303594,20,268.0,0.14824612476699345,20,268.0,False,,
460.0,27,238.0,5.666666666666667,3.5436317822106695,27,373.0,0.09871397532047184,27,373.0,False,,
465.0,26,267.0,6.209302325581396,3.53619445952855,26,450.0,0.15683080455053067,26,450.0,False,,
470.0,17,217.0,4.931818181818182,4.738332731506829,17,450.0,0.24821761681305315,17,450.0,False,,
