step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.03654261920093,0,0.0,0.8949551955148219,0,0.0,False,,
10.0,0,0.0,0.0,12.532932917724649,0,0.0,0.9305692998638718,0,0.0,False,,
15.0,1,2.0,0.1111111111111111,8.196623042437961,1,2.0,0.4944031490083842,1,2.0,False,,
20.0,6,29.0,1.6111111111111112,8.328699728499693,6,29.0,0.44466868906982576,6,29.0,False,,
25.0,4,39.0,1.8571428571428572,6.746389615648566,4,39.0,0.4556834795431681,4,39.0,False,,
30.0,6,67.0,3.526315789473684,8.46451997543944,6,67.0,0.4733258242182991,6,67.0,False,,
35.0,3,42.0,1.9090909090909092,7.952892929316431,3,56.0,0.435346400314127,3,56.0,False,,
40.0,6,67.0,2.9130434782608696,8.39821306226361,6,67.0,0.5220763389062397,6,67.0,False,,
45.0,2,61.0,2.3461538461538463,8.261707781415456,2,75.0,0.5552148167171146,2,75.0,False,,
50.0,2,71.0,2.84,9.08256728265272,2,71.0,0.5111064210950667,2,71.0,False,,
55.0,8,98.0,3.769230769230769,7.4397555770866335,8,98.0,0.3478313232023369,8,98.0,False,,
60.0,10,146.0,7.3,5.9945302815928425,10,146.0,0.26326222752088313,10,146.0,False,,
65.0,6,156.0,6.5,6.379221429184969,6,170.0,0.40734447363620463,6,170.0,False,,
70.0,6,186.0,8.857142857142858,8.320515842678299,6,186.0,0.473230202336049,6,186.0,False,,
75.0,4,126.0,3.9375,7.772144223817292,4,168.0,0.4952434295434871,4,168.0,False,,
80.0,10,168.0,6.0,8.021694877157058,10,168.0,0.5078626935812584,10,168.0,False,,
85.0,9,78.0,2.4375,6.027065184649599,9,78.0,0.3575232093263061,9,78.0,False,,
90.0,18,148.0,5.285714285714286,4.4466693596451226,18,148.0,0.2201130540787667,18,148.0,False,,
95.0,13,123.0,3.84375,4.004863886744572,13,190.0,0.19198772580520437,13,190.0,False,,
100.0,10,136.0,4.533333333333333,5.535669964139578,10,178.0,0.30368052428144404,10,178.0,False,,
105.0,10,124.0,3.6470588235294117,5.574169612857002,10,195.0,0.2910822597759586,10,195.0,False,,
110.0,16,187.0,5.3428571428571425,5.231527677023605,16,229.0,0.3098965021317913,16,229.0,False,,
115.0,16,221.0,6.138888888888889,5.085337016832753,16,277.0,0.2911025825144087,16,277.0,False,,
120.0,9,233.0,6.852941176470588,5.4979730221957865,9,282.0,0.2968061517178819,9,282.0,False,,
125.0,10,61.0,1.605263157894737,5.878107249333443,10,226.0,0.28225605551169564,10,226.0,False,,
130.0,10,59.0,1.6857142857142857,5.446033926437061,10,141.0,0.24747783518558156,10,141.0,False,,
135.0,12,79.0,2.1944444444444446,4.614093739419845,12,159.0,0.19370010879190727,12,159.0,False,,
140.0,9,98.0,2.8,6.623585370611899,9,172.0,0.3282883941511395,9,172.0,False,,
