step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.095783450080072,0,0.0,0.9596833191157553,0,0.0,False,,
10.0,0,0.0,0.0,12.371518265353117,0,0.0,0.9057063442363273,0,0.0,False,,
15.0,3,5.0,0.2777777777777778,7.862487058142786,3,5.0,0.4444340448344041,3,5.0,False,,
20.0,4,20.0,1.1111111111111112,8.225551886836648,4,25.0,0.48686221055290657,4,25.0,False,,
25.0,5,42.0,1.9090909090909092,6.888643449351028,5,42.0,0.37240572384063036,5,42.0,False,,
30.0,6,68.0,3.4,6.922248924248441,6,72.0,0.40482175896448774,6,72.0,False,,
35.0,6,98.0,4.666666666666667,8.398500464227277,6,98.0,0.49423238975387923,6,98.0,False,,
40.0,3,52.0,2.0,9.656250661915829,3,78.0,0.5848290336283003,3,78.0,False,,
45.0,4,68.0,2.72,9.141023505406466,4,68.0,0.5372827807502074,4,68.0,False,,
50.0,6,29.0,1.16,7.8614850836287165,6,29.0,0.40300473771803763,6,29.0,False,,
55.0,11,74.0,2.96,5.991000966052496,11,74.0,0.29059492667179954,11,74.0,False,,
60.0,7,53.0,2.5238095238095237,5.044321886818876,7,95.0,0.2919484108706055,7,95.0,False,,
65.0,6,63.0,2.52,7.090209536742671,6,79.0,0.3909275950593769,6,79.0,False,,
70.0,6,93.0,3.72,9.453989760272444,6,93.0,0.4458452121882766,6,93.0,False,,
75.0,5,99.0,3.0,8.819047394933044,5,101.0,0.5654850519734286,5,101.0,False,,
80.0,8,132.0,5.076923076923077,8.18195899538862,8,132.0,0.5356812070951097,8,132.0,False,,
85.0,5,140.0,4.516129032258065,5.6803587945306875,5,156.0,0.33889049928410786,5,156.0,False,,
90.0,12,194.0,6.928571428571429,6.477354034465615,12,194.0,0.34606137851037544,12,194.0,False,,
95.0,9,61.0,1.967741935483871,6.21992084280485,9,165.0,0.315557430614051,9,165.0,False,,
100.0,11,91.0,2.935483870967742,7.256272670013233,11,109.0,0.3320492883256776,11,109.0,False,,
105.0,9,110.0,3.6666666666666665,5.737456983709079,9,151.0,0.27023506823704885,9,151.0,False,,
110.0,10,143.0,4.46875,7.459494627778407,10,171.0,0.46528166719254216,10,171.0,False,,
115.0,6,90.0,2.8125,7.415844591382407,6,161.0,0.4530371300289381,6,161.0,False,,
120.0,11,134.0,4.620689655172414,6.414503889342789,11,162.0,0.3372905079069058,11,162.0,False,,
125.0,12,155.0,5.0,5.74193279894847,12,196.0,0.27624841914817333,12,196.0,False,,
130.0,10,189.0,6.517241379310345,7.022105612711497,10,227.0,0.34970121501305806,10,227.0,False,,
135.0,8,134.0,4.32258064516129,6.225370654220372,8,196.0,0.2978714653087792,8,196.0,False,,
140.0,13,187.0,6.448275862068965,6.353974113448177,13,207.0,0.2736683827672057,13,207.0,False,,
145.0,11,209.0,6.53125,6.15655654063238,11,243.0,0.3245324281309726,11,243.0,False,,
150.0,8,229.0,6.735294117647059,7.983793631065504,8,259.0,0.49317301931426527,8,259.0,False,,
155.0,5,147.0,4.59375,6.2290623215868575,5,237.0,0.3244764202675728,5,237.0,False,,
160.0,12,190.0,5.588235294117647,5.459623570568587,12,220.0,0.2519491979498613,12,220.0,False,,
165.0,14,97.0,3.03125,5.188601405404363,14,141.0,0.18986088052144307,14,141.0,False,,
170.0,20,179.0,5.264705882352941,5.325428325606377,20,209.0,0.2044321691186652,20,209.0,False,,
175.0,14,164.0,5.466666666666667,3.882834889727796,14,246.0,0.14119030029257712,14,246.0,False,,
180.0,10,128.0,4.266666666666667,4.7066532808632555,10,228.0,0.24071366878399578,10,228.0,False,,
185.0,8,148.0,4.111111111111111,7.54289030743027,8,201.0,0.3697874200144364,8,201.0,False,,
190.0,5,125.0,3.4722222222222223,7.078794773860462,5,196.0,0.40147501671301633,5,196.0,False,,
195.0,12,171.0,5.34375,5.067057388988904,12,224.0,0.2103047722362276,12,224.0,False,,
200.0,11,197.0,5.794117647058823,5.122110197377444,11,261.0,0.23145024034783795,11,261.0,False,,
205.0,9,230.0,7.1875,5.632803019863609,9,259.0,0.2616152003230013,9,259.0,False,,
210.0,7,45.0,1.3235294117647058,5.445943723781893,7,204.0,0.2832201178767852,7,204.0,False,,
215.0,11,58.0,1.9333333333333333,5.375875552898582,11,120.0,0.22662198517423848,11,120.0,False,,
220.0,13,70.0,1.75,6.123804324111606,13,139.0,0.3459411353544925,13,139.0,False,,
225.0,7,68.0,1.8888888888888888,7.169036837909216,7,139.0,0.4245457396136989,7,139.0,False,,
230.0,7,89.0,2.282051282051282,7.370582736011429,7,125.0,0.3610644472640716,7,125.0,False,,
235.0,8,40.0,1.1428571428571428,5.773953590161838,8,120.0,0.2718844441152159,8,120.0,False,,
240.0,14,98.0,2.9696969696969697,5.504297982808814,14,134.0,0.23868610028797865,14,134.0,False,,
245.0,11,124.0,3.757575757575758,5.576701608606525,11,180.0,0.2250555758734448,11,180.0,False,,
250.0,9,148.0,4.484848484848484,7.333459344045115,9,179.0,0.3235756497445716,9,179.0,False,,
255.0,4,51.0,1.457142857142857,7.001338126921442,4,136.0,0.3717077652844923,4,136.0,False,,
260.0,10,90.0,2.6470588235294117,6.790804707657852,10,111.0,0.3860845095500872,10,111.0,False,,
265.0,9,103.0,3.121212121212121,5.697444740387156,9,143.0,0.3227684170978645,9,143.0,False,,
270.0,11,134.0,3.9411764705882355,6.236217650198806,11,164.0,0.3164792154087697,11,164.0,False,,
275.0,10,98.0,3.0625,5.4455222313741,10,125.0,0.2113156507559763,10,125.0,False,,
280.0,17,169.0,5.28125,3.9998860750208234,17,196.0,0.23089396096292655,17,196.0,False,,
285.0,16,213.0,6.870967741935484,3.607061330250714,16,259.0,0.2102837592790791,16,259.0,False,,
