step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.442262123969478,0,0.0,0.9346895849600193,0,0.0,False,,
10.0,0,0.0,0.0,11.770320084561385,0,0.0,0.8885870315561131,0,0.0,False,,
15.0,5,8.0,0.4444444444444444,7.210482446654565,5,8.0,0.44990052099357086,5,8.0,False,,
20.0,8,46.0,2.5555555555555554,6.8958270519665135,8,46.0,0.38951028097119506,8,46.0,False,,
25.0,4,45.0,1.9565217391304348,6.379801168742038,4,60.0,0.3785100775552847,4,60.0,False,,
30.0,6,73.0,3.65,8.277188571757211,6,73.0,0.4705577761407127,6,73.0,False,,
35.0,2,41.0,1.7083333333333333,7.375140003296987,2,55.0,0.3632006199803694,2,55.0,False,,
40.0,6,63.0,2.423076923076923,9.045871038543934,6,63.0,0.5765417821057286,6,63.0,False,,
45.0,5,33.0,1.2692307692307692,8.17217323942866,5,33.0,0.5204942917497566,5,33.0,False,,
50.0,10,70.0,2.8,5.934631564137459,10,70.0,0.32515866739893556,10,70.0,False,,
55.0,10,46.0,1.7692307692307692,4.955154333333173,10,94.0,0.28979928470342026,10,94.0,False,,
60.0,6,56.0,2.3333333333333335,5.95526554415745,6,72.0,0.2685889563462268,6,72.0,False,,
65.0,6,44.0,1.4666666666666666,7.054753405145537,6,82.0,0.37520151254187856,6,82.0,False,,
70.0,13,98.0,3.769230769230769,5.5620946398747,13,114.0,0.22740681153408807,13,114.0,False,,
75.0,12,115.0,3.2857142857142856,6.309175990926636,12,151.0,0.4016473691224447,12,151.0,False,,
80.0,6,118.0,3.6875,8.25863372733303,6,145.0,0.5235162810791714,6,145.0,False,,
85.0,2,2.0,0.05405405405405406,7.058841512088714,2,92.0,0.3655580415875064,2,92.0,False,,
90.0,13,50.0,1.5151515151515151,6.872185323162984,13,70.0,0.262367926977059,13,70.0,False,,
95.0,10,73.0,2.212121212121212,5.707541186477363,10,109.0,0.2161688570090248,10,109.0,False,,
100.0,8,94.0,3.032258064516129,7.703175591145939,8,117.0,0.3772518084538124,8,117.0,False,,
105.0,5,58.0,1.8709677419354838,7.310065803765635,5,104.0,0.3683693922188415,5,104.0,False,,
110.0,12,104.0,3.1515151515151514,7.179649929258305,12,116.0,0.3678111852598714,12,116.0,False,,
115.0,15,119.0,3.838709677419355,5.560615463371888,15,131.0,0.3139722758989304,15,131.0,False,,
120.0,17,203.0,7.0,3.4930301366078984,17,215.0,0.2141692301627558,17,215.0,False,,
125.0,18,192.0,5.818181818181818,3.400436485241887,18,263.0,0.19380106375829975,18,263.0,False,,
130.0,11,158.0,4.787878787878788,5.144222327117638,11,243.0,0.24526649869492584,11,243.0,False,,
135.0,9,163.0,4.405405405405405,6.034795360675447,9,255.0,0.2811390700635405,9,255.0,False,,
140.0,14,225.0,6.818181818181818,4.833776106595725,14,299.0,0.2167322549562517,14,299.0,False,,
145.0,15,259.0,7.0,4.716784440199066,15,333.0,0.23933813852486246,15,333.0,False,,
150.0,11,292.0,7.487179487179487,6.73651571713128,11,318.0,0.4017358788316749,11,318.0,False,,
155.0,6,67.0,1.7179487179487178,5.598701298446136,6,247.0,0.276161629137535,6,247.0,False,,
160.0,11,32.0,0.8,5.818520000071125,11,129.0,0.27780213341471593,11,129.0,False,,
165.0,13,59.0,1.5526315789473684,4.553387598511579,13,121.0,0.12320263816841213,13,121.0,False,,
170.0,14,99.0,2.475,6.007281886355495,14,157.0,0.2724260789903365,14,157.0,False,,
175.0,14,127.0,3.6285714285714286,4.500670075773624,14,190.0,0.16165036548696624,14,190.0,False,,
180.0,20,210.0,6.176470588235294,3.0797288758637755,20,273.0,0.13245244658044558,20,273.0,False,,
185.0,20,264.0,6.769230769230769,3.462341069293569,20,347.0,0.1904785240332121,20,347.0,False,,
190.0,15,295.0,7.195121951219512,4.96875778824215,15,388.0,0.27765248604254794,15,388.0,False,,
195.0,14,216.0,5.023255813953488,4.282764697955789,14,378.0,0.17433115771830549,14,378.0,False,,
200.0,19,296.0,6.883720930232558,4.786422952458855,19,389.0,0.20028945623523767,19,389.0,False,,
205.0,21,348.0,8.285714285714286,3.826966510933492,21,453.0,0.10359768029943184,21,453.0,False,,
210.0,16,386.0,9.19047619047619,5.446289776623035,16,485.0,0.24420023374309272,16,485.0,False,,
215.0,13,435.0,11.447368421052632,5.201683729019787,13,496.0,0.12269993587179738,13,496.0,False,,
220.0,9,182.0,3.9565217391304346,7.08479006587408,9,427.0,0.41444004929029044,9,427.0,False,,
225.0,7,22.0,0.55,6.572772188401963,7,251.0,0.3660708098825981,7,251.0,False,,
230.0,13,75.0,1.7045454545454546,6.001677169376065,13,129.0,0.2632564436975882,13,129.0,False,,
235.0,18,94.0,2.292682926829268,4.541915451527539,18,180.0,0.1600357691040325,18,180.0,False,,
240.0,13,90.0,2.3076923076923075,4.947403431333414,13,201.0,0.196142932725792,13,201.0,False,,
245.0,12,107.0,2.8157894736842106,4.974376614161316,12,221.0,0.19815554213045672,12,221.0,False,,
250.0,19,186.0,5.027027027027027,3.371961130792815,19,300.0,0.16422150776330954,19,300.0,False,,
255.0,20,242.0,5.902439024390244,3.7843367665038814,20,361.0,0.2269073425339822,20,361.0,False,,
260.0,15,277.0,6.441860465116279,5.561168591571246,15,367.0,0.29603940405843043,15,367.0,False,,
265.0,11,202.0,4.488888888888889,4.380224982268208,11,362.0,0.1884250503799345,11,362.0,False,,
270.0,18,276.0,6.2727272727272725,4.890813410567141,18,376.0,0.22524368872132536,18,376.0,False,,
275.0,21,330.0,7.857142857142857,3.4256682763545117,21,430.0,0.07777382587316123,21,430.0,False,,
280.0,17,375.0,8.720930232558139,4.927312345680882,17,451.0,0.22696700060007594,17,451.0,False,,
285.0,13,433.0,10.560975609756097,5.472500029147543,13,481.0,0.19715234353056255,13,481.0,False,,
290.0,12,190.0,4.042553191489362,6.500769293128192,12,423.0,0.37949515815921586,12,423.0,False,,
295.0,10,54.0,1.2272727272727273,6.562152434023881,10,266.0,0.36776787616482753,10,266.0,False,,
300.0,16,117.0,2.659090909090909,6.190508257112082,16,162.0,0.24744266573712334,16,162.0,False,,
305.0,19,136.0,3.1627906976744184,4.4414957059961475,19,219.0,0.15366859844746683,19,219.0,False,,
310.0,18,134.0,3.35,4.756730905040289,18,247.0,0.20323290888841591,18,247.0,False,,
315.0,12,141.0,3.4390243902439024,4.93635413443937,12,281.0,0.21877678477060375,12,281.0,False,,
320.0,20,223.0,5.868421052631579,3.5128437229606346,20,363.0,0.17191984310335895,20,363.0,False,,
325.0,22,284.0,6.761904761904762,3.2743187494272674,22,430.0,0.20116644532262146,22,430.0,False,,
330.0,18,327.0,7.785714285714286,4.4040528169365345,18,451.0,0.22455714473276933,18,451.0,False,,
