step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,11.921894262280938,0,0.0,0.8793372732495265,0,0.0,False,,
10.0,0,0.0,0.0,11.15326133845245,0,0.0,0.8321044415864826,0,0.0,False,,
15.0,4,6.0,0.3333333333333333,6.287670631487725,4,6.0,0.4276353343994469,4,6.0,False,,
20.0,10,47.0,2.611111111111111,5.606036186517669,10,47.0,0.33633591711220284,10,47.0,False,,
25.0,6,65.0,2.8260869565217392,5.256498303069876,6,75.0,0.3379327949152401,6,75.0,False,,
30.0,8,105.0,4.7727272727272725,7.741598837738985,8,105.0,0.41603510131524785,8,105.0,False,,
35.0,5,84.0,3.230769230769231,6.851113055253115,5,100.0,0.299414832792508,5,100.0,False,,
40.0,8,120.0,4.137931034482759,8.665866062860715,8,120.0,0.4667911982475041,8,120.0,False,,
45.0,4,123.0,4.392857142857143,8.11206855957405,4,136.0,0.47795999164080466,4,136.0,False,,
50.0,5,144.0,5.538461538461538,7.688492284121735,5,144.0,0.39850827494441077,5,144.0,False,,
55.0,12,191.0,6.821428571428571,5.984048920930037,12,191.0,0.2852804316718001,12,191.0,False,,
60.0,14,257.0,11.173913043478262,5.1284119542180715,14,257.0,0.24679230155508147,14,257.0,False,,
65.0,10,265.0,9.464285714285714,5.089399679365115,10,297.0,0.26648310667452063,10,297.0,False,,
70.0,9,305.0,12.2,6.650606629083478,9,310.0,0.3457062503486785,9,310.0,False,,
75.0,5,63.0,1.7027027027027026,7.6465793748399875,5,227.0,0.447134498252716,5,227.0,False,,
80.0,9,46.0,1.393939393939394,8.971168069996514,9,95.0,0.5446002013320022,9,95.0,False,,
85.0,5,49.0,1.4,6.297192974203958,5,95.0,0.32580915293230495,5,95.0,False,,
90.0,12,97.0,3.129032258064516,6.7178054916445165,12,121.0,0.32703535996366856,12,121.0,False,,
95.0,9,63.0,1.96875,5.673464516900815,9,127.0,0.2625609418422332,9,127.0,False,,
100.0,13,122.0,4.066666666666666,5.628920877601425,13,146.0,0.2706053416804719,13,146.0,False,,
105.0,11,145.0,4.53125,5.3928061406779575,11,197.0,0.2716411270410976,11,197.0,False,,
110.0,9,175.0,4.861111111111111,7.290878794000305,9,213.0,0.43134821293482956,9,213.0,False,,
115.0,9,93.0,2.735294117647059,6.348402884678607,9,184.0,0.3556549755546908,9,184.0,False,,
120.0,15,156.0,4.875,5.7454589904713504,15,170.0,0.2921975503450715,15,170.0,False,,
125.0,13,170.0,5.0,4.471767744737154,13,212.0,0.19812403744485063,13,212.0,False,,
130.0,10,190.0,5.757575757575758,6.1161076528359555,10,227.0,0.28398748450534317,10,227.0,False,,
135.0,14,158.0,4.647058823529412,5.095065302178434,14,195.0,0.236736142113067,14,195.0,False,,
140.0,20,246.0,7.935483870967742,3.5191148822927514,20,283.0,0.19470865658162642,20,283.0,False,,
145.0,16,284.0,8.114285714285714,3.5332114252863995,16,341.0,0.19036607694169827,16,341.0,False,,
150.0,12,307.0,7.675,6.25623953997808,12,362.0,0.3794735443870777,12,362.0,False,,
155.0,10,142.0,3.55,4.982490639466322,10,327.0,0.24422765625807594,10,327.0,False,,
160.0,18,160.0,3.902439024390244,4.683353816598263,18,260.0,0.22617691992758976,18,260.0,False,,
165.0,20,206.0,5.15,3.159682079491145,20,321.0,0.0954330056067792,20,321.0,False,,
170.0,20,249.0,5.790697674418604,5.01150440951532,20,358.0,0.22566198060830317,20,358.0,False,,
175.0,10,118.0,2.95,4.785674271197779,10,314.0,0.1855607322709708,10,314.0,False,,
180.0,18,169.0,4.333333333333333,4.352092312768299,18,289.0,0.16525447141629293,18,289.0,False,,
185.0,18,226.0,5.380952380952381,3.999813932631104,18,352.0,0.18918229685072283,18,352.0,False,,
190.0,14,266.0,6.186046511627907,5.531550029462958,14,376.0,0.2806207720593105,14,376.0,False,,
195.0,16,264.0,6.285714285714286,3.870706401001486,16,376.0,0.1529427935735224,16,376.0,False,,
200.0,24,370.0,8.80952380952381,2.885409240537752,24,482.0,0.13445591947627533,24,482.0,False,,
205.0,26,447.0,10.642857142857142,2.35131786216422,26,573.0,0.12254535303996779,26,573.0,False,,
210.0,22,512.0,11.636363636363637,4.430570025690137,22,633.0,0.21578050117258635,22,633.0,False,,
215.0,14,298.0,6.7727272727272725,4.0000075782301705,14,570.0,0.12029652043048218,14,570.0,False,,
220.0,11,155.0,3.1,5.939277511728484,11,428.0,0.3551137686401073,11,428.0,False,,
225.0,19,230.0,4.791666666666667,6.055680651965974,19,323.0,0.2951117863236216,19,323.0,False,,
230.0,22,264.0,5.176470588235294,3.959667186169943,22,387.0,0.1601314750556545,22,387.0,False,,
235.0,21,292.0,6.3478260869565215,4.265344783640829,21,437.0,0.14587836331789739,21,437.0,False,,
240.0,12,102.0,2.217391304347826,5.038220807743598,12,377.0,0.22298063015986383,12,377.0,False,,
245.0,17,141.0,3.2790697674418605,4.658036347943433,17,302.0,0.18252849706955976,17,302.0,False,,
250.0,19,190.0,4.318181818181818,3.748902594975292,19,360.0,0.1408674876569259,19,360.0,False,,
255.0,17,235.0,5.222222222222222,4.458359648502957,17,382.0,0.2256442344119919,17,382.0,False,,
260.0,15,238.0,5.0638297872340425,5.068791163196949,15,405.0,0.29134020178831166,15,405.0,False,,
265.0,20,326.0,7.086956521739131,3.1886653567816934,20,493.0,0.15867049870184807,20,493.0,False,,
270.0,27,398.0,8.291666666666666,2.9068130473605946,27,569.0,0.15482258714845357,27,569.0,False,,
275.0,22,460.0,10.222222222222221,2.911882742047262,22,578.0,0.07528269751894488,22,578.0,False,,
280.0,15,261.0,5.22,4.5182337374019435,15,559.0,0.22551122423188558,15,559.0,False,,
285.0,12,173.0,3.6808510638297873,4.3135739169904515,12,408.0,0.16566243621374796,12,408.0,False,,
290.0,15,197.0,3.7169811320754715,4.8989300833836955,15,438.0,0.267928219768816,15,438.0,False,,
295.0,16,249.0,4.882352941176471,5.158354912461076,16,460.0,0.27894228195085863,16,460.0,False,,
300.0,14,262.0,5.24,3.845374974638675,14,460.0,0.18233012069587037,14,460.0,False,,
305.0,21,334.0,6.958333333333333,3.3713285798662285,21,463.0,0.16064640084879017,21,463.0,False,,
310.0,21,186.0,3.72,3.6249156144519263,21,439.0,0.12849063687799042,21,439.0,False,,
315.0,26,225.0,4.411764705882353,3.970824469664246,26,343.0,0.1137887641000869,26,343.0,False,,
320.0,27,249.0,5.1875,3.4687662201097242,27,414.0,0.1159335473533095,27,414.0,False,,
325.0,21,228.0,4.56,4.130884129822158,21,437.0,0.1699269257475073,21,437.0,False,,
330.0,18,214.0,4.458333333333333,5.686205853275877,18,413.0,0.24994111539631397,18,413.0,False,,
335.0,10,145.0,3.0208333333333335,4.869414377071277,10,419.0,0.23782523712890777,10,419.0,False,,
340.0,20,224.0,4.977777777777778,3.298014180373509,20,498.0,0.1719140730560667,20,498.0,False,,
345.0,21,286.0,6.217391304347826,2.5538138331717097,21,558.0,0.14716905229449195,21,558.0,False,,
350.0,20,346.0,7.361702127659575,3.228577857429634,20,570.0,0.1321482379919828,20,570.0,False,,
355.0,16,417.0,8.34,4.97648672991288,16,552.0,0.18686225728290118,16,552.0,False,,
360.0,13,255.0,5.543478260869565,3.993594810372654,13,529.0,0.15178391592878346,13,529.0,False,,
365.0,14,224.0,4.226415094339623,5.81286248553396,14,444.0,0.3467699855281095,14,444.0,False,,
370.0,20,312.0,6.24,5.125129461911481,20,444.0,0.23217177583986973,20,444.0,False,,
375.0,24,353.0,6.537037037037037,3.6146275831715036,24,501.0,0.1363473309446136,24,501.0,False,,
380.0,25,387.0,8.0625,3.5041691567485493,25,537.0,0.11663246933540321,25,537.0,False,,
385.0,16,156.0,3.0588235294117645,3.997260715713773,16,500.0,0.18000337529132263,16,500.0,False,,
390.0,14,118.0,2.5652173913043477,4.073790512189619,14,395.0,0.17612917016072724,14,395.0,False,,
395.0,15,148.0,3.0833333333333335,3.689386464363739,15,368.0,0.11778589985078772,15,368.0,False,,
