step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.31303702960826,0,0.0,0.909395997854956,0,0.0,False,,
10.0,0,0.0,0.0,11.684141621184558,0,0.0,0.8088931358425939,0,0.0,False,,
15.0,4,5.0,0.2777777777777778,7.225595048849931,4,5.0,0.4464775631281504,4,5.0,False,,
20.0,7,37.0,2.0555555555555554,8.496041023835474,7,37.0,0.4063623853691887,7,37.0,False,,
25.0,9,75.0,3.5714285714285716,5.358607608058946,9,75.0,0.2893958118255765,9,75.0,False,,
30.0,7,81.0,4.2631578947368425,4.68979590728482,7,104.0,0.30666926394943334,7,104.0,False,,
35.0,6,106.0,4.608695652173913,6.542068692229964,6,111.0,0.33531351698343803,6,111.0,False,,
40.0,8,144.0,4.9655172413793105,9.07211158820562,8,144.0,0.4951147092562298,8,144.0,False,,
45.0,3,64.0,2.2857142857142856,7.908168931210459,3,117.0,0.49315369568432743,3,117.0,False,,
50.0,7,93.0,3.875,7.591573080352444,7,93.0,0.47406965793788786,7,93.0,False,,
55.0,9,132.0,4.714285714285714,6.561043590179447,9,134.0,0.33816006891230643,9,134.0,False,,
60.0,12,185.0,7.708333333333333,5.655095617420923,12,185.0,0.23578078761679336,12,185.0,False,,
65.0,9,153.0,5.464285714285714,5.177399101213432,9,206.0,0.27163215655390244,9,206.0,False,,
70.0,6,165.0,6.875,6.833452478281958,6,187.0,0.37214508393348117,6,187.0,False,,
75.0,7,196.0,5.444444444444445,9.652047262267942,7,196.0,0.5571462564681563,7,196.0,False,,
80.0,8,106.0,3.4193548387096775,8.268961094201613,8,106.0,0.4998547604573895,8,106.0,False,,
85.0,12,157.0,5.064516129032258,5.752590869366902,12,157.0,0.3273407387931095,12,157.0,False,,
90.0,14,79.0,2.6333333333333333,5.381810774167914,14,158.0,0.27450605033220543,14,158.0,False,,
95.0,12,132.0,4.4,5.231148955582132,12,132.0,0.24318712451481792,12,132.0,False,,
100.0,12,97.0,3.03125,5.359183187643694,12,161.0,0.2473237142825044,12,161.0,False,,
105.0,6,85.0,2.5757575757575757,6.797779664420489,6,134.0,0.3535935614708457,6,134.0,False,,
110.0,6,115.0,3.2857142857142856,9.257737038581244,6,116.0,0.5140026690640892,6,116.0,False,,
115.0,6,45.0,1.40625,8.084440582413379,6,96.0,0.46116784644931685,6,96.0,False,,
120.0,12,89.0,3.0689655172413794,7.265193257909393,12,90.0,0.3383710260229664,12,90.0,False,,
125.0,9,102.0,3.4,5.831823691588549,9,128.0,0.23700532658215154,9,128.0,False,,
130.0,7,125.0,4.62962962962963,7.027729165490415,7,139.0,0.3586103716533853,7,139.0,False,,
135.0,4,21.0,0.7241379310344828,6.959011072392958,4,98.0,0.34943192281689295,4,98.0,False,,
140.0,9,47.0,1.6785714285714286,7.759366781432196,9,61.0,0.37184313322226814,9,61.0,False,,
145.0,5,43.0,1.4333333333333333,6.745002372225612,5,72.0,0.35710386740314737,5,72.0,False,,
150.0,3,36.0,1.125,9.129586009463601,3,61.0,0.5988766438866808,3,61.0,False,,
155.0,4,21.0,0.75,7.240462211669279,4,46.0,0.40681155179283773,4,46.0,False,,
160.0,14,68.0,2.2666666666666666,5.937896683743651,14,94.0,0.2602890130541255,14,94.0,False,,
165.0,11,93.0,3.3214285714285716,4.419601519690143,11,135.0,0.15113649765826068,11,135.0,False,,
170.0,8,100.0,3.4482758620689653,6.349275184976171,8,129.0,0.33679977428908203,8,129.0,False,,
175.0,8,140.0,4.827586206896552,8.516169536171352,8,144.0,0.35878863799253863,8,144.0,False,,
180.0,8,180.0,6.428571428571429,8.251679370654477,8,180.0,0.29404631089957955,8,180.0,False,,
185.0,5,64.0,2.2857142857142856,8.4973020921153,5,145.0,0.5139524505280361,5,145.0,False,,
190.0,4,72.0,2.769230769230769,8.373182724846362,4,80.0,0.4960253415877666,4,80.0,False,,
195.0,11,114.0,4.222222222222222,7.305811735958053,11,122.0,0.28085626539763725,11,122.0,False,,
200.0,13,172.0,6.37037037037037,5.819932680040822,13,180.0,0.2735243658538269,13,180.0,False,,
205.0,9,161.0,6.44,4.285467545359515,9,210.0,0.2636638287897099,9,210.0,False,,
210.0,8,183.0,6.777777777777778,6.526811647139914,8,201.0,0.3688943302258445,8,201.0,False,,
215.0,8,223.0,8.25925925925926,8.135762150953996,8,231.0,0.3431208127547655,8,231.0,False,,
220.0,5,134.0,3.8285714285714287,8.022566994161334,5,208.0,0.4920066951605571,5,208.0,False,,
225.0,7,153.0,5.275862068965517,8.85537980588,7,159.0,0.5711937292823246,7,159.0,False,,
230.0,9,55.0,1.6666666666666667,5.828769220929836,9,61.0,0.3016424262634441,9,61.0,False,,
235.0,17,132.0,4.551724137931035,5.068374795566807,17,138.0,0.22948086025889383,17,138.0,False,,
240.0,13,118.0,3.806451612903226,4.136655329494476,13,180.0,0.1848455851287721,13,180.0,False,,
245.0,10,133.0,4.586206896551724,5.683519665547041,10,173.0,0.28691324220580455,10,173.0,False,,
250.0,6,79.0,2.393939393939394,6.796294619102823,6,153.0,0.331920055693659,6,153.0,False,,
255.0,10,121.0,3.5588235294117645,7.413437509526137,10,143.0,0.39693043383905535,10,143.0,False,,
260.0,11,71.0,2.0285714285714285,7.019251380977991,11,146.0,0.38544137384889654,11,146.0,False,,
265.0,13,135.0,4.090909090909091,6.849616723405537,13,157.0,0.29486804727779903,13,157.0,False,,
270.0,11,99.0,3.0,5.995574587292524,11,174.0,0.2684898824288034,11,174.0,False,,
275.0,3,24.0,0.8275862068965517,6.904498285839282,3,133.0,0.3156285134467128,3,133.0,False,,
280.0,3,32.0,1.032258064516129,8.76676516950906,3,65.0,0.4647931854672203,3,65.0,False,,
285.0,4,52.0,1.9259259259259258,10.819733965984183,4,53.0,0.6113336359051077,4,53.0,False,,
290.0,1,1.0,0.03225806451612903,9.321423057904997,1,23.0,0.597991617429855,1,23.0,False,,
295.0,7,29.0,1.0357142857142858,9.414057410853236,7,30.0,0.5877709313206531,7,30.0,False,,
300.0,7,64.0,2.3703703703703702,7.267828686151718,7,65.0,0.3625284267398396,7,65.0,False,,
305.0,14,124.0,4.592592592592593,5.792889704119868,14,125.0,0.2753844213082529,14,125.0,False,,
310.0,11,83.0,3.074074074074074,4.460265477100772,11,153.0,0.20949153767714115,11,153.0,False,,
315.0,6,61.0,2.1785714285714284,6.637360499284932,6,122.0,0.35537497366519716,6,122.0,False,,
320.0,6,91.0,3.1379310344827585,8.497691790571398,6,102.0,0.4370349371136248,6,102.0,False,,
325.0,8,124.0,3.875,9.2513520622253,8,124.0,0.5189535011551943,8,124.0,False,,
330.0,8,164.0,5.857142857142857,8.966438435485307,8,164.0,0.5251975305672937,8,164.0,False,,
335.0,3,68.0,2.5185185185185186,6.984414661486619,3,131.0,0.4115285427370824,3,131.0,False,,
340.0,7,94.0,3.9166666666666665,7.048094026116677,7,94.0,0.36518789762681175,7,94.0,False,,
345.0,6,117.0,4.333333333333333,7.477835078957927,6,121.0,0.3503405338303125,6,121.0,False,,
350.0,10,162.0,6.75,6.278350165495311,10,162.0,0.2770472538218723,10,162.0,False,,
355.0,8,133.0,5.32,6.025580227924634,8,176.0,0.3372933611320657,8,176.0,False,,
360.0,4,135.0,6.136363636363637,5.8631062646706775,4,156.0,0.25399327756864376,4,156.0,False,,
365.0,6,162.0,4.909090909090909,9.477828355522693,6,166.0,0.5805628154222583,6,166.0,False,,
370.0,4,55.0,1.896551724137931,9.42860000651666,4,55.0,0.5916628655143414,4,55.0,False,,
375.0,9,89.0,2.966666666666667,6.012051795061669,9,89.0,0.2549998953027989,9,89.0,False,,
380.0,10,54.0,2.076923076923077,5.543916270972942,10,99.0,0.2997438094743118,10,99.0,False,,
385.0,13,108.0,3.7241379310344827,5.97687991728939,13,108.0,0.2985959982502211,13,108.0,False,,
390.0,8,93.0,3.3214285714285716,6.402183107104717,8,138.0,0.28496689605249576,8,138.0,False,,
395.0,4,81.0,2.793103448275862,7.785066561247633,4,116.0,0.39569068500430515,4,116.0,False,,
400.0,5,103.0,3.433333333333333,9.792214383969698,5,103.0,0.5629006275638868,5,103.0,False,,
405.0,4,15.0,0.5,8.718405932545625,4,70.0,0.5037625269235074,4,70.0,False,,
410.0,7,46.0,1.84,7.466367534796514,7,46.0,0.3948320008279702,7,46.0,False,,
415.0,11,95.0,3.392857142857143,6.8611517752404305,11,95.0,0.278568419374083,11,95.0,False,,
420.0,9,86.0,3.739130434782609,4.339758047719996,9,127.0,0.18999787163914628,9,127.0,False,,
425.0,6,91.0,3.5,7.0767470871896085,6,106.0,0.3835198373108588,6,106.0,False,,
430.0,2,2.0,0.07692307692307693,7.658241765774013,2,70.0,0.3855586960928496,2,70.0,False,,
435.0,5,22.0,0.6470588235294118,8.605501319428576,5,37.0,0.4920987971664718,5,37.0,False,,
440.0,4,12.0,0.4,9.13063171952201,4,44.0,0.5767694818425797,4,44.0,False,,
445.0,1,1.0,0.03125,8.015032667210237,1,16.0,0.4427336273838591,1,16.0,False,,
450.0,8,34.0,1.2142857142857142,9.144811779037301,8,34.0,0.4117619753865156,8,34.0,False,,
455.0,5,40.0,1.4814814814814814,7.6785250094876085,5,51.0,0.42859177573195395,5,51.0,False,,
460.0,11,81.0,3.5217391304347827,6.332127156674896,11,81.0,0.3219834125257399,11,81.0,False,,
465.0,7,101.0,3.8846153846153846,6.158767431912365,7,118.0,0.34491437139411185,7,118.0,False,,
470.0,8,130.0,4.642857142857143,7.808690832902591,8,131.0,0.47288729422843284,8,131.0,False,,
475.0,4,63.0,2.1,7.727422461885273,4,109.0,0.4516708727002387,4,109.0,False,,
480.0,8,96.0,3.4285714285714284,7.81024501027815,8,97.0,0.4256764229354469,8,97.0,False,,
485.0,7,93.0,3.206896551724138,6.021304847355091,7,120.0,0.30299908255517494,7,120.0,False,,
490.0,8,128.0,4.413793103448276,7.2327526808852065,8,133.0,0.3641600010422528,8,133.0,False,,
495.0,8,132.0,4.551724137931035,6.657599064980168,8,153.0,0.34425069319589247,8,153.0,False,,
500.0,12,183.0,6.777777777777778,5.825420302464507,12,188.0,0.2681816300552978,12,188.0,True,"{'r': -1.88, 'l': 100, 't': 3608.441525}","[0.         0.         1.         0.         1.         0.26417753
 0.15850651 0.         0.05283551 0.36984855 0.15850651 0.
 0.05283551 0.10567101 0.10567101 0.         0.05283551 0.21134202
 0.10567101 0.         0.05283551]"
