step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,11.593855789022433,0,0.0,0.864466616769973,0,0.0,False,,
10.0,0,0.0,0.0,12.579117868500084,0,0.0,0.9372121898386988,0,0.0,False,,
15.0,1,1.0,0.05555555555555555,8.395533081829889,1,1.0,0.5355166053481857,1,1.0,False,,
20.0,8,33.0,1.8333333333333333,7.157470945974306,8,33.0,0.40375490729786057,8,33.0,False,,
25.0,8,73.0,3.65,6.90742917476194,8,73.0,0.3637592160491725,8,73.0,False,,
30.0,10,123.0,6.15,6.731631497200499,10,123.0,0.34130993701984297,10,123.0,False,,
35.0,10,173.0,8.238095238095237,6.159257531851761,10,173.0,0.27142306599100996,10,173.0,False,,
40.0,12,228.0,9.12,6.914310415883415,12,228.0,0.4186178355531828,12,228.0,False,,
45.0,9,175.0,6.730769230769231,5.582967750583413,9,226.0,0.40549075830247644,9,226.0,False,,
50.0,14,237.0,8.464285714285714,6.330632565655402,14,237.0,0.2762117561817594,14,237.0,False,,
55.0,12,229.0,7.15625,6.378805380438146,12,229.0,0.2896886349961388,12,229.0,False,,
60.0,17,305.0,11.73076923076923,3.261991726683903,17,305.0,0.1406411031002063,17,305.0,False,,
65.0,14,300.0,10.0,3.778100440858971,14,351.0,0.22213135022771094,14,351.0,False,,
70.0,11,330.0,11.379310344827585,5.344135146949337,11,348.0,0.22181704394050877,11,348.0,False,,
75.0,12,388.0,9.7,8.186569024081738,12,388.0,0.45026845696357093,12,388.0,False,,
80.0,13,451.0,12.527777777777779,6.764364643902296,13,451.0,0.36718621320173667,13,451.0,False,,
85.0,18,532.0,14.777777777777779,4.878958252254787,18,532.0,0.30910409031719066,18,532.0,False,,
90.0,18,593.0,17.441176470588236,4.294914800336125,18,612.0,0.2210906560468386,18,612.0,False,,
95.0,16,669.0,18.08108108108108,5.519541149882515,16,673.0,0.24257203333084484,16,673.0,False,,
100.0,20,743.0,20.63888888888889,4.904746765542215,20,747.0,0.19860171957237935,20,747.0,False,,
105.0,25,855.0,23.75,2.9236229621922947,25,859.0,0.11733842452560267,25,859.0,False,,
